group1	26.63712521144269
group2	28.53901227960701
group3	31.273604174628066
group4	33.981720440589356
group5	36.37798692226974
group6	37.60119578440547
group7	39.86557360099657
group8	39.587667877446485
group9	41.24454503164066
group10	42.8435323991036
group11	42.62663732377447
group12	43.84927625768026
group13	43.20863285801228
group14	45.06219051312811
group15	44.3655044267133
group16	31.949152542372882
group17	41.03448275862069
group18	41.974317817014445
group19	46.73904171088075
group20	42.409381663113
group21	42.020665901262916
group22	47.65915283626455
group23	45.91229768986029
group25	49.41962715441435
